Year,Quarter,Yr_Qtr,Risk_F_R,Coke_Q_EX_R,Dow_Q_EX_R,Pepsi_Q_EX_R,REV_Q_R,T_Bill_13W_R,Coke_Q_R,Dow_Q_R,Pepsi_Q_R,REV,Coke_Q_P,DOW_Q_P,Pepsi_Q_P,GOOG_Q_EX_R,BAC_Q_EX_R,PFE_Q_EX_R,WMT_Q_EX_R,HD_Q_EX_R,XOM_Q_EX_R,GE_Q_EX_R,SBUX_Q_EX_R
2016,2,2016_2,0.0006,-0.019247903,0.036454875,0.065219797,0.12225248,0.24,-0.018647903,0.037054875,0.065819797,11539,36.460567,18432.24,92.683632,0.108749024,-0.002031778,0.1372892,0.098611817,0.037235903,0.01407809,0.019754723,0.035379121
2016,3,2016_3,0.0007375,-0.020989379,-0.016461037,-0.009567592,-0.078516336,0.295,-0.020251879,-0.015723537,-0.008830092,10633,35.722172,18142.42,91.865227,0.019749239,0.143278407,-0.134009449,-0.034596615,-0.113615962,-0.056043351,-0.0589548,-0.083341824
2016,4,2016_4,0.00125,-0.012536632,0.093647483,-0.025991309,-0.115113326,0.5,-0.011286632,0.094897483,-0.024741309,9409,35.318989,19864.09,89.592361,0.014364246,0.375962123,0.00936038,-0.041271911,0.132349688,0.014506711,0.027049632,0.044082328
2017,1,2017_1,0.00195,0.045219895,0.052239243,0.097087484,-0.030927835,0.78,0.047169895,0.054189243,0.099037484,9118,36.984982,20940.51,98.465363,0.135062321,0.032110956,0.077960896,0.132794061,0.139568026,-0.019751746,-0.018070509,0.090600663
2017,2,2017_2,0.0026325,0.068450839,0.042763243,0.033833795,0.064049134,1.053,0.071083339,0.045395743,0.036466295,9702,39.613998,21891.12,102.05603,0.024454764,0.034180935,-0.015575714,0.068467143,-0.038734502,-0.013093781,-0.111772045,-0.100162463
2017,3,2017_3,0.0028075,0.008227438,0.065079387,-0.050904756,-0.064316636,1.123,0.011034938,0.067886887,-0.048097256,9078,40.051136,23377.24,97.147415,0.089766401,0.138573027,0.064818248,0.095569625,0.11190075,0.048640348,-0.207749753,0.017710572
2017,4,2017_4,0.003575,0.039926163,0.115008289,0.095350689,-0.172504957,1.43,0.043501163,0.118583289,0.098925689,7512,41.793407,26149.39,106.75779,0.147215765,0.169713171,0.062553085,0.223796573,0.214411405,0.053508835,-0.195953519,0.037835451
2018,1,2018_1,0.0044075,-0.088428671,-0.080364912,-0.159137342,0.015175719,1.763,-0.084021171,-0.075957412,-0.154729842,7626,38.281876,24163.15,90.239174,-0.134850028,-0.065898892,-0.00685973,-0.169628909,-0.079301058,-0.104693257,-0.127076647,0.014466989
2018,2,2018_2,0.0049625,0.083796813,0.046853592,0.144806236,0.170600577,1.985,0.088759313,0.051816092,0.149768736,8927,41.679749,25415.19,103.754181,0.191561725,0.031339725,0.096370408,0.010096725,0.069852748,0.054023891,-0.027636461,-0.090181306
2018,3,2018_3,0.005695,0.029845857,-0.017476537,-0.02039462,-0.076397446,2.278,0.035540857,-0.011781537,-0.01469962,8245,43.161083,25115.76,102.229034,-0.121109939,-0.110845915,0.081874016,0.124669662,-0.110689224,-0.018063393,-0.257619668,0.1142835
