Date,13W_TB,5Y_TBY,10Y_TBY,30Y_TBY,DWJ,Year
1/5/2016,0.322580645,-0.006340058,0.001336303,0.007023411,0.000566799,2016
1/6/2016,0,-0.042923434,-0.03158363,-0.023580206,-0.014695203,2016
1/7/2016,-0.073170732,-0.023030303,-0.011024345,-0.004761905,-0.023210586,2016
1/8/2016,0,-0.021091811,-0.010682768,-0.002050581,-0.010151931,2016
1/11/2016,-0.078947368,-0.001267427,0.01314554,0.012328767,0.00318846,2016
1/12/2016,0.2,-0.024746193,-0.025949954,-0.025033829,0.007174406,2016
1/13/2016,0.023809524,-0.018217306,-0.017126546,-0.011797363,-0.022087984,2016
1/14/2016,0.11627907,0.006626905,0.015488867,0.015449438,0.014094126,2016
1/15/2016,-0.070833333,-0.043449638,-0.030981888,-0.027316736,-0.023870127,2016
1/19/2016,0.031390135,0.012388162,0.000983768,-0.003199431,0.001747552,2016
1/20/2016,0.1,-0.036709721,-0.025061425,-0.016761769,-0.015564416,2016
1/21/2016,0.079051383,0.011997177,0.017641129,0.014508524,0.007353454,2016
1/22/2016,0.054945055,0.028591353,0.014363546,0.008223096,0.013274208,2016
1/25/2016,-0.045138889,-0.010169492,-0.012695313,-0.006382979,-0.012942484,2016
1/26/2016,0.090909091,-0.02260274,-0.013847676,-0.007494647,0.01775298,2016
1/27/2016,0,-0.004905396,0.003510532,0.003236246,-0.013779107,2016
1/28/2016,0.06,-0.013380282,-0.007996002,0.000358423,0.007851003,2016
1/29/2016,-0.056603774,-0.047109208,-0.02720403,-0.011823719,0.024683814,2016
2/1/2016,-0.016666667,0.035955056,0.018125324,0.008339376,-0.001039699,2016
2/2/2016,0.118644068,-0.073752711,-0.051881994,-0.036677454,-0.017972932,2016
2/3/2016,0.009090909,-0.006245121,0.009120172,0.009705114,0.011336215,2016
2/4/2016,-0.15015015,-0.018067557,-0.009037746,-0.001848429,0.004892065,2016
2/5/2016,-0.017667845,0,-0.008583691,-0.006666667,-0.012890017,2016
2/8/2016,-0.064748201,-0.08,-0.061147186,-0.045488441,-0.010979348,2016
2/9/2016,0.153846154,0.004347826,-0.003458213,-0.001953125,-0.000790538,2016
2/10/2016,-0.006666667,-0.007792208,-0.013880856,-0.010176125,-0.006221908,2016
2/11/2016,-0.083892617,-0.033158813,-0.035777126,-0.00988533,-0.015995235,2016
2/12/2016,-0.010989011,0.082129964,0.063260341,0.040335463,0.020029144,2016
2/16/2016,0.011111111,0.016680567,0.017162471,0.014203455,0.013933406,2016
2/17/2016,0.073260073,0.036915505,0.023059618,0.01665405,0.015893646,2016
2/18/2016,-0.017064846,-0.040348101,-0.032985157,-0.020104244,-0.002455355,2016
2/19/2016,-0.017361111,0.01071723,-0.006253553,-0.010258359,-0.001306247,2016
2/22/2016,0.035335689,0.013050571,0.010297483,0.00537428,0.013950106,2016
2/23/2016,0.085324232,-0.019323671,-0.01189128,-0.008400153,-0.01136417,2016
2/24/2016,-0.009433962,-0.002463054,-0.001719198,0,0.003238237,2016
2/25/2016,-0.015873016,-0.052674897,-0.025832377,-0.008856373,0.012878382,2016
2/26/2016,-0.022580645,0.077324066,0.038302887,0.024087024,-0.003432892,2016
2/29/2016,0.01650165,-0.016129032,-0.012485812,-0.007966616,-0.007420085,2016
3/1/2016,0.038961039,0.080327869,0.054022989,0.033652008,0.021104956,2016
3/2/2016,-0.053125,0.022003035,0.007633588,-0.004069552,0.002030231,2016
3/3/2016,-0.132013201,-0.011878248,-0.00974026,-0.011887073,0.002637976,2016
3/4/2016,0.007604563,0.039819684,0.028961749,0.016165414,0.00371048,2016
3/7/2016,0,0.023843931,0.010090281,-0.000369959,0.003950192,2016
3/8/2016,0.150943396,-0.047282992,-0.036803365,-0.024426351,-0.006433778,2016
3/9/2016,-0.055737705,0.031851852,0.032751092,0.017830046,0.002137455,2016
3/10/2016,0.052083333,0.035175879,0.019556025,0.005963474,-0.000307641,2016
3/11/2016,0.01650165,0.027739251,0.024883359,0.018154872,0.012837795,2016
3/14/2016,0,-0.002699055,-0.007081437,-0.006186317,0.000919056,2016
3/15/2016,0.055194805,0.0067659,-0.002037697,-0.003295496,0.001300124,2016
3/16/2016,-0.076923077,-0.053763441,-0.010719755,0.005143277,0.004302807,2016
3/17/2016,-0.083333333,-0.020596591,-0.018059856,-0.015350877,0.00898835,2016
3/18/2016,0.018181818,-0.031907179,-0.016815554,-0.0077951,0.006910738,2016
3/21/2016,0.028571429,0.032958801,0.027792624,0.021324355,0.001225408,2016
3/22/2016,0.024305556,0.021754895,0.00624025,-0.004029304,-0.002343413,2016
3/23/2016,-0.006779661,-0.040454223,-0.031007752,-0.025744759,-0.004548823,2016
3/24/2016,-0.061433447,0.019970414,0.013333333,0.008682522,0.000750746,2016
