	Date	Year	GOOGLE	Volume	EURUSD	UST10Y
1	1/4/2016	2016	741.840027	3272800	1.085399	2.245
2	1/5/2016	2016	742.580017	1950700	1.082755	2.248
3	1/6/2016	2016	743.619995	1947000	1.075199	2.177
4	1/7/2016	2016	726.390015	2963700	1.0779	2.153
5	1/8/2016	2016	714.469971	2450900	1.092598	2.13
6	1/11/2016	2016	716.030029	2090600	1.094104	2.158
7	1/12/2016	2016	726.070007	2024500	1.0858	2.102
8	1/13/2016	2016	700.559998	2501700	1.084399	2.066
9	1/14/2016	2016	714.719971	2225800	1.088601	2.098
10	1/15/2016	2016	694.450012	3608100	1.085894	2.033
11	1/19/2016	2016	701.789978	2268100	1.089503	2.035
12	1/20/2016	2016	698.450012	3445000	1.091298	1.984
13	1/21/2016	2016	706.590027	2412200	1.087701	2.019
14	1/22/2016	2016	725.25	2011800	1.086201	2.048
15	1/25/2016	2016	711.669983	1711700	1.079902	2.022
16	1/26/2016	2016	713.039978	1331700	1.085305	1.994
17	1/27/2016	2016	699.98999	2194200	1.086496	2.001
18	1/28/2016	2016	730.960022	2676400	1.090798	1.985
19	1/29/2016	2016	742.950012	3474300	1.093697	1.931
20	2/1/2016	2016	752	5139200	1.082591	1.966
21	2/2/2016	2016	764.650024	6348100	1.089728	1.864
22	2/3/2016	2016	726.950012	6171000	1.092204	1.881
23	2/4/2016	2016	708.01001	5168700	1.109102	1.864
24	2/5/2016	2016	683.570007	5105700	1.119996	1.848
25	2/8/2016	2016	682.73999	4247400	1.114504	1.735
26	2/9/2016	2016	678.109985	3608900	1.118981	1.729
27	2/10/2016	2016	684.119995	2638000	1.128999	1.705
28	2/11/2016	2016	683.109985	3024000	1.128095	1.644
29	2/12/2016	2016	682.400024	2141400	1.131798	1.748
30	2/16/2016	2016	691	2520000	1.117406	1.778
31	2/17/2016	2016	708.400024	2492600	1.114703	1.819
32	2/18/2016	2016	697.349976	1883200	1.112298	1.759
33	2/19/2016	2016	700.909973	1589300	1.111099	1.748
34	2/22/2016	2016	706.460022	1949800	1.112397	1.766
35	2/23/2016	2016	695.849976	2009300	1.102803	1.745
36	2/24/2016	2016	699.559998	1963600	1.102706	1.742
37	2/25/2016	2016	705.75	1642200	1.101394	1.697
38	2/26/2016	2016	705.070007	2243500	1.102499	1.762
39	2/29/2016	2016	697.77002	2481100	1.092395	1.74
40	3/1/2016	2016	718.809998	2151400	1.088898	1.834
41	3/2/2016	2016	718.849976	1629000	1.087595	1.848
42	3/3/2016	2016	712.419983	1958000	1.086897	1.83
43	3/4/2016	2016	710.890015	1972100	1.094895	1.883
44	3/7/2016	2016	695.159973	2985100	1.099396	1.902
45	3/8/2016	2016	693.969971	2076300	1.101601	1.832
46	3/9/2016	2016	705.23999	1421500	1.100401	1.892
47	3/10/2016	2016	712.820007	2833500	1.098901	1.929
48	3/11/2016	2016	726.820007	1970800	1.117843	1.977
49	3/14/2016	2016	730.48999	1718300	1.116794	1.963
50	3/15/2016	2016	728.330017	1721000	1.110198	1.959
51	3/16/2016	2016	736.090027	1624400	1.110901	1.938
52	3/17/2016	2016	737.780029	1860800	1.121894	1.903
53	3/18/2016	2016	737.599976	2980700	1.131798	1.871
54	3/21/2016	2016	742.090027	1836500	1.127904	1.923
55	3/22/2016	2016	740.75	1269700	1.123595	1.935
56	3/23/2016	2016	738.059998	1432100	1.122297	1.875
57	3/24/2016	2016	735.299988	1594900	1.118105	1.9
58	3/28/2016	2016	733.530029	1301300	1.115997	1.87
59	3/29/2016	2016	744.77002	1903800	1.120272	1.814
60	3/30/2016	2016	750.530029	1782400	1.129203	1.83
61	3/31/2016	2016	744.950012	1718800	1.133466	1.786
62	4/1/2016	2016	749.909973	1576700	1.137967	1.792
63	4/4/2016	2016	745.289978	1134200	1.139004	1.779
64	4/5/2016	2016	737.799988	1132300	1.1389	1.727
65	4/6/2016	2016	745.690002	1053700	1.1382	1.755
66	4/7/2016	2016	740.280029	1453200	1.140498	1.691
67	4/8/2016	2016	739.150024	1290800	1.137398	1.72
68	4/11/2016	2016	736.099976	1220100	1.140303	1.724
69	4/12/2016	2016	743.090027	1353000	1.141292	1.781
70	4/13/2016	2016	751.719971	1707100	1.138498	1.762
71	4/14/2016	2016	753.200012	1135300	1.127904	1.781
72	4/15/2016	2016	759	1809300	1.127002	1.752
73	4/18/2016	2016	766.609985	1558800	1.129995	1.773
74	4/19/2016	2016	753.929993	2030500	1.130902	1.783
75	4/20/2016	2016	752.669983	1529200	1.135963	1.854
76	4/21/2016	2016	759.140015	3060500	1.130506	1.87
77	4/22/2016	2016	718.77002	5951900	1.129203	1.888
78	4/25/2016	2016	723.150024	1959200	1.123406	1.902
79	4/26/2016	2016	708.140015	2744600	1.1269	1.931
80	4/27/2016	2016	705.840027	3098600	1.129905	1.86
81	4/28/2016	2016	691.02002	2867300	1.132901	1.838
82	4/29/2016	2016	693.01001	2487700	1.135589	1.819
83	5/2/2016	2016	698.210022	1645300	1.146303	1.865
84	5/3/2016	2016	692.359985	1543800	1.152499	1.8
